meeting_id,title,start_time,end_time,duration_minutes,participants_count,email_domains,summary_topics,overall_sentiment,sentiment_score,utt_sent_total,utt_sent_positive,utt_sent_neutral,utt_sent_negative,utt_sent_unknown,utt_sent_positive_ratio,utt_sent_neutral_ratio,utt_sent_negative_ratio,utt_sent_unknown_ratio
01KQB3B16F255B65F39597D0,Comply v2 - Design Review,2026-02-12T13:45:00.000Z,2026-02-12T14:16:48.000Z,31.8,3,aegiscloud.com,design review;compliance reporting;multi-framework support;pdf export;performance testing;roadmap planning,positive,4.4,40,24,16,0,0,0.6,0.4,0.0,0.0
01KQB632F1ADC378C42F2C03,Support Case #7570 - Silverline Brands Comply v2 License Upgrade,2026-04-18T09:15:00.000Z,2026-04-18T09:31:18.000Z,16.3,3,aegiscloud.com;silverlinebrands.com,billing discrepancy;proration error;license upgrade;compliance reporting;credit request;product features,mixed-positive,3.9,40,3,37,0,0,0.075,0.925,0.0,0.0
01KQB95605C6F873C6036285,Aegis / Forge Industries - PCI DSS Compliance Review,2026-04-09T11:15:00.000Z,2026-04-09T11:39:24.000Z,24.4,3,aegiscloud.com;forgeindustries.com,pci dss compliance;audit preparation;multi-framework reporting;product demo;detect outage follow-up;soc 2,mixed-positive,4.1,42,30,11,1,0,0.7143,0.2619,0.0238,0.0
01KQBB7C4D4789DB2F3DA9C2,Support Case #1750 - Vanta Health Systems SIEM Connector Issue,2026-02-18T12:30:00.000Z,2026-02-18T12:59:42.000Z,29.7,4,aegiscloud.com;vantahealth.com,siem integration;technical issue;compliance;support response time;product bug;documentation gap,mixed-negative,2.4,45,0,29,16,0,0.0,0.6444,0.3556,0.0
01KQBBF753B44DE677670E6D,Support Case #6147 - Summit Trust Detect Alert Delays,2026-04-15T12:30:00.000Z,2026-04-15T12:46:42.000Z,16.7,3,aegiscloud.com;summittrust.com,alert latency;incident communication failure;platform outage;regulatory compliance;infrastructure rebalancing;product gap,mixed-negative,2.4,41,3,25,13,0,0.0732,0.6098,0.3171,0.0
01KQC1267BEB344076DD7656,Aegis / Ironclad Financial - Account Recovery Check-in,2026-03-28T12:30:00.000Z,2026-03-28T13:05:18.000Z,35.3,4,aegiscloud.com;ironcladfinancial.com,outage post-mortem;renewal;platform reliability;compliance;competitive evaluation;configuration review,mixed-negative,2.8,42,10,27,5,0,0.2381,0.6429,0.119,0.0
01KQC166F678CBA584AAFF8B,Support Case #7615 - Crestline Wealth Group Policy Sync Delay,2026-04-27T10:15:00.000Z,2026-04-27T10:35:42.000Z,20.7,2,aegiscloud.com;crestlinewealth.com,provisioning sync delay;identity policy propagation;shared cluster performance;support response time;renewal risk;compliance requirements,mixed-negative,2.4,39,4,23,12,0,0.1026,0.5897,0.3077,0.0
01KQC3A2EBC501837E973B16,Aegis / Frostbyte AI - Identity Module Setup,2026-02-19T10:30:00.000Z,2026-02-19T11:02:18.000Z,32.3,4,aegiscloud.com;frostbyte.ai,onboarding;sso configuration;mfa policy;identity access management;contractor access controls;okta migration,very-positive,4.8,42,26,14,2,0,0.619,0.3333,0.0476,0.0
01KQCA6EA8B603EBB6C9FE34,Aegis / Ridgeline Logistics - Identity Roadmap Discussion,2026-03-07T09:00:00.000Z,2026-03-07T09:28:36.000Z,28.6,2,aegiscloud.com;ridgelinelogistics.com,shared workstation session management;mfa policy exceptions;sso integration;rbac enhancements;renewal;feature request,mixed-positive,3.4,44,3,37,4,0,0.0682,0.8409,0.0909,0.0
01KQCF9872BF130D33B1B5EC,Comply v2 - Launch Day Checklist,2026-04-04T16:45:00.000Z,2026-04-04T17:26:36.000Z,41.6,3,aegiscloud.com,launch readiness;qa sign-off;compliance reporting;safari bug;hipaa validation;incident communications,very-positive,4.8,43,28,15,0,0,0.6512,0.3488,0.0,0.0
01KQD1270E98A7DFC55ADCF8,Protect Performance - Scalability Concerns,2026-04-15T16:45:00.000Z,2026-04-15T17:08:30.000Z,23.5,4,aegiscloud.com,performance degradation;architecture scalability;technical debt;incident risk;sales alignment;backup infrastructure,mixed-negative,2.2,47,0,20,27,0,0.0,0.4255,0.5745,0.0
01KQD199788883B6F18C81E8,Aegis / Atlas Precision - Annual Review & Renewal,2026-04-28T12:45:00.000Z,2026-04-28T13:14:42.000Z,29.7,3,aegiscloud.com;atlasprecision.com,renewal;compliance;incident review;product roadmap;identity management;ot security,positive,4.3,41,30,9,2,0,0.7317,0.2195,0.0488,0.0
01KQD4D9DEBA2D55AC2AA9F5,Aegis / Keystone Health - Renewal Planning,2026-03-09T16:45:00.000Z,2026-03-09T17:13:30.000Z,28.5,3,aegiscloud.com;keystonehealth.com,renewal;compliance;product launch;upsell;technical incident;healthcare,positive,4.4,43,31,12,0,0,0.7209,0.2791,0.0,0.0
01KQDD5172176D02DB51360A,Support Case #3286 - Vanta Health Systems API Integration Error,2026-02-03T10:00:00.000Z,2026-02-03T10:21:00.000Z,21.0,2,aegiscloud.com;vantahealth.com,api outage;backup failure;hipaa compliance;healthcare data;incident communication;escalation,mixed-negative,2.4,39,1,24,14,0,0.0256,0.6154,0.359,0.0
01KQE110900B8A65D80AE694,Detect Outage - Root Cause Analysis,2026-03-14T14:30:00.000Z,2026-03-14T14:45:54.000Z,15.9,5,aegiscloud.com,incident review;pipeline failure;infrastructure reliability;health checks;chaos engineering;post-mortem,mixed-negative,2.4,38,0,16,22,0,0.0,0.4211,0.5789,0.0
01KQEDB92E33CF9945A7F71B,URGENT: Cobalt Software - Aegis Detect Dashboard Down,2026-03-10T13:15:00.000Z,2026-03-10T13:28:24.000Z,13.4,2,aegiscloud.com;cobaltsoftware.com,outage;platform reliability;threat monitoring;churn risk;incident response;service credit,negative,1.8,37,0,17,20,0,0.0,0.4595,0.5405,0.0
01KQEDE682B4A8D67C657CF1,Support Case #3103 - Silverline Brands Detect False Positives After Patch,2026-03-16T16:15:00.000Z,2026-03-16T16:28:48.000Z,13.8,3,aegiscloud.com;silverlinebrands.com,false positives;patch management;behavioral detection;customer retention risk;incident communication;baseline configuration,mixed-negative,2.4,41,2,26,13,0,0.0488,0.6341,0.3171,0.0
01KQF9600A904ADE8605B3F0,Detect Team - Reliability Sprint Retro,2026-04-28T10:45:00.000Z,2026-04-28T11:03:30.000Z,18.5,3,aegiscloud.com,sprint retrospective;reliability engineering;circuit breaker implementation;monitoring gaps;incident response;knowledge sharing,very-positive,4.8,39,27,11,1,0,0.6923,0.2821,0.0256,0.0
01KQFEEFFF8E80B0DFD10880,SOC 2 Type II - Final Review,2026-04-20T09:30:00.000Z,2026-04-20T10:10:24.000Z,40.4,4,aegiscloud.com,soc 2 type ii audit;compliance;incident response;audit evidence packaging;product dogfooding;customer renewals,very-positive,4.7,44,29,15,0,0,0.6591,0.3409,0.0,0.0
01KQFFC0F889AE8CFEE7A00D,Aegis / Blackridge Investments - Renewal Discussion,2026-02-07T17:45:00.000Z,2026-02-07T18:39:06.000Z,54.1,3,aegiscloud.com;blackridgeinvest.com,renewal;compliance reporting;incident post-mortem;product expansion;identity management;early access,very-positive,4.7,52,42,10,0,0,0.8077,0.1923,0.0,0.0
